epoch,train_loss,val_loss,val_accuracy,learning_rate,timestamp
1,2.387813,2.675356,34.81,0.0002,2025-12-07T21:07:35.470589
2,1.951384,2.073574,49.17,0.0004,2025-12-07T21:08:54.875630
3,1.760683,1.869518,51.68,0.0006,2025-12-07T21:10:19.767504
4,1.749443,1.941036,51.83,0.0008,2025-12-07T21:11:34.468636
5,1.72405,2.037414,51.21,0.001,2025-12-07T21:12:50.138344
6,1.689926,1.839666,54.87,0.00099994,2025-12-07T21:14:35.605315
7,1.659904,1.869526,54.91,0.00099974,2025-12-07T21:16:09.571121
8,1.56894,1.739357,57.2,0.00099942,2025-12-07T21:17:35.112393
9,1.577345,1.760521,57.25,0.00099896,2025-12-07T21:18:48.685739
10,1.556608,1.728937,58.01,0.00099838,2025-12-07T21:20:02.894135
11,1.552795,1.733804,57.32,0.00099767,2025-12-07T21:21:31.338534
12,1.549247,1.759784,56.9,0.00099682,2025-12-07T21:23:07.246609
13,1.526543,1.659853,59.75,0.00099585,2025-12-07T21:24:43.493236
14,1.479639,1.653343,59.48,0.00099475,2025-12-07T21:26:19.395330
15,1.485791,1.555724,61.42,0.00099353,2025-12-07T21:27:54.750551
16,1.487059,1.606661,62.07,0.00099217,2025-12-07T21:29:30.478207
17,1.500583,1.581017,61.5,0.00099069,2025-12-07T21:31:04.150614
18,1.447975,1.584802,61.08,0.00098907,2025-12-07T21:32:33.242453
19,1.432346,1.518454,62.18,0.00098734,2025-12-07T21:34:02.180525
20,1.485396,1.606644,60.98,0.00098547,2025-12-07T21:35:31.407125
21,1.41241,1.53382,62.28,0.00098348,2025-12-07T21:37:21.007169
22,1.463634,1.509899,63.26,0.00098136,2025-12-07T21:38:40.633051
23,1.463695,1.536013,62.07,0.00097912,2025-12-07T21:39:54.188406
24,1.439782,1.505528,63.2,0.00097676,2025-12-07T21:42:05.904789
25,1.406842,1.46992,64.97,0.00097427,2025-12-07T21:44:40.137419
26,1.37889,1.466561,63.56,0.00097166,2025-12-07T21:47:14.846326
27,1.390875,1.433118,64.52,0.00096892,2025-12-07T21:48:59.072837
28,1.425803,1.433509,64.6,0.00096606,2025-12-07T21:50:28.078596
