epoch,train_loss,val_loss,val_accuracy,learning_rate,timestamp
1,2.206492,2.920617,29.89,0.0002,2025-12-08T02:14:07.668399
2,1.944274,2.21992,47.03,0.0004,2025-12-08T02:15:35.889361
3,1.809668,2.335997,48.88,0.0006,2025-12-08T02:17:07.462322
4,1.759853,2.040669,51.24,0.0008,2025-12-08T02:18:39.079054
5,1.787101,2.056921,50.71,0.001,2025-12-08T02:20:10.357142
6,1.766665,1.908917,52.99,0.00099994,2025-12-08T02:21:41.339549
7,1.780949,1.935553,54.9,0.00099974,2025-12-08T02:23:12.116346
8,1.74733,1.888335,54.39,0.00099942,2025-12-08T02:24:43.844595
9,1.652002,1.818901,56.11,0.00099896,2025-12-08T02:26:14.605268
10,1.645733,1.813946,56.51,0.00099838,2025-12-08T02:27:44.946485
11,1.634646,1.826253,57.56,0.00099767,2025-12-08T02:29:16.355622
12,1.641071,1.789516,57.81,0.00099682,2025-12-08T02:30:46.931893
13,1.671027,1.844563,56.22,0.00099585,2025-12-08T02:32:17.921762
14,1.610919,1.756539,58.41,0.00099475,2025-12-08T02:33:49.134370
15,1.662426,1.747314,59.57,0.00099353,2025-12-08T02:35:20.445302
16,1.584835,1.802367,57.4,0.00099217,2025-12-08T02:36:50.917045
17,1.600812,1.682415,59.71,0.00099069,2025-12-08T02:38:21.372369
18,1.560416,1.655261,61.28,0.00098907,2025-12-08T02:39:51.363600
19,1.617264,1.707986,60.1,0.00098734,2025-12-08T02:41:22.653042
20,1.581673,1.64,61.66,0.00098547,2025-12-08T02:42:53.762542
21,1.534108,1.725449,59.67,0.00098348,2025-12-08T02:44:25.339684
22,1.527007,1.680406,61.78,0.00098136,2025-12-08T02:45:56.196656
23,1.549948,1.60448,61.91,0.00097912,2025-12-08T02:47:26.927411
24,1.535139,1.69309,61.8,0.00097676,2025-12-08T02:48:58.446186
25,1.588102,1.646327,62.09,0.00097427,2025-12-08T02:50:29.655206
26,1.538643,1.592859,62.84,0.00097166,2025-12-08T02:52:01.451406
27,1.526174,1.656096,62.08,0.00096892,2025-12-08T02:53:32.197555
28,1.572744,1.618843,62.62,0.00096606,2025-12-08T02:55:02.927200
29,1.5629,1.573478,63.28,0.00096309,2025-12-08T02:56:33.829555
30,1.542723,1.526931,65.05,0.00095999,2025-12-08T02:58:04.768605
31,1.60716,1.524475,64.66,0.00095677,2025-12-08T02:59:36.936960
32,1.535419,1.627417,63.33,0.00095344,2025-12-08T03:01:07.624255
33,1.539511,1.518662,65.06,0.00094998,2025-12-08T03:02:38.237513
34,1.496476,1.563766,64.51,0.00094641,2025-12-08T03:04:09.752310
35,1.487761,1.560348,64.47,0.00094273,2025-12-08T03:05:40.489641
36,1.539265,2.026205,62.82,0.00093893,2025-12-08T03:07:13.007233
37,1.540529,1.625987,63.68,0.00093501,2025-12-08T03:08:44.144004
38,1.503263,1.463762,65.9,0.00093098,2025-12-08T03:10:14.744624
39,1.489047,1.98037,63.46,0.00092685,2025-12-08T03:11:45.531271
40,1.554097,1.541674,64.15,0.0009226,2025-12-08T03:13:15.419388
41,1.486274,1.480634,65.91,0.00091824,2025-12-08T03:14:45.957455
42,1.535195,1.59625,65.02,0.00091377,2025-12-08T03:16:16.952968
43,1.477345,1.595278,65.62,0.00090919,2025-12-08T03:17:47.220597
44,1.560777,1.405827,67.42,0.00090451,2025-12-08T03:19:18.406438
45,1.467528,1.501757,65.51,0.00089972,2025-12-08T03:20:49.189565
46,1.522009,1.586211,65.3,0.00089483,2025-12-08T03:22:19.720681
47,1.499913,1.501204,65.92,0.00088984,2025-12-08T03:23:50.354574
48,1.456218,1.51519,66.23,0.00088474,2025-12-08T03:25:21.097721
49,1.483264,1.597174,65.97,0.00087955,2025-12-08T03:26:51.778398
50,1.506802,1.509743,65.23,0.00087426,2025-12-08T03:28:22.903121
51,1.494091,1.480465,66.65,0.00086887,2025-12-08T03:29:54.132874
52,1.46966,1.518877,66.21,0.00086338,2025-12-08T03:31:24.913372
53,1.480406,1.443077,66.2,0.0008578,2025-12-08T03:32:54.967233
54,1.480802,1.457402,66.39,0.00085213,2025-12-08T03:34:25.024522
55,1.50681,1.415736,67.67,0.00084636,2025-12-08T03:35:55.015050
56,1.484507,1.454977,66.36,0.00084051,2025-12-08T03:37:24.796051
57,1.446448,1.433577,67.46,0.00083457,2025-12-08T03:38:54.995479
58,1.481251,1.402546,67.52,0.00082854,2025-12-08T03:40:25.378561
59,1.446123,1.393364,67.53,0.00082242,2025-12-08T03:41:55.900776
60,1.458083,1.513874,66.46,0.00081622,2025-12-08T03:43:26.819279
61,1.449193,1.427156,66.87,0.00080994,2025-12-08T03:44:59.251398
62,1.457528,1.463237,66.47,0.00080358,2025-12-08T03:46:29.396698
63,1.445165,1.400935,67.89,0.00079714,2025-12-08T03:47:59.459760
64,1.426969,1.475391,67.2,0.00079062,2025-12-08T03:49:29.455947
65,1.428734,1.421687,67.69,0.00078403,2025-12-08T03:50:59.764412
66,1.429443,1.45877,66.41,0.00077737,2025-12-08T03:52:29.869541
67,1.409803,1.445225,66.87,0.00077063,2025-12-08T03:53:59.485026
68,1.418186,1.441846,66.82,0.00076382,2025-12-08T03:55:30.032830
69,1.435138,1.372921,67.9,0.00075694,2025-12-08T03:57:00.109369
70,1.462618,1.477388,67.06,0.00075,2025-12-08T03:58:30.965899
71,1.407913,1.417593,67.14,0.00074299,2025-12-08T04:00:02.125736
72,1.441813,1.488789,66.79,0.00073592,2025-12-08T04:01:34.660801
73,1.423745,1.405667,66.57,0.00072879,2025-12-08T04:02:50.877419
74,1.421741,1.41392,67.87,0.0007216,2025-12-08T04:04:12.312260
75,1.436835,1.341355,68.07,0.00071435,2025-12-08T04:05:49.700332
76,1.39162,1.434428,67.14,0.00070704,2025-12-08T04:07:27.088417
77,1.439966,1.386258,68.89,0.00069968,2025-12-08T04:09:03.905840
78,1.392976,1.445684,67.54,0.00069227,2025-12-08T04:10:40.835050
79,1.40092,1.417875,67.57,0.00068481,2025-12-08T04:12:18.269641
80,1.429707,1.362579,69.01,0.0006773,2025-12-08T04:13:54.852111
81,1.412835,1.364042,67.35,0.00066975,2025-12-08T04:15:32.902866
82,1.382417,1.382706,68.36,0.00066215,2025-12-08T04:17:10.720739
83,1.378,1.371361,68.41,0.00065451,2025-12-08T04:18:48.703030
84,1.427746,1.40057,67.69,0.00064683,2025-12-08T04:20:26.297934
85,1.400247,1.340121,69.86,0.00063911,2025-12-08T04:22:04.297976
86,1.407466,1.360241,69.23,0.00063135,2025-12-08T04:23:42.941711
87,1.37164,1.36623,68.9,0.00062356,2025-12-08T04:25:20.355724
88,1.315216,1.288224,70.11,0.00061574,2025-12-08T04:27:02.817637
89,1.422934,1.326321,69.0,0.00060789,2025-12-08T04:28:40.823302
90,1.38262,1.420362,67.88,0.00060001,2025-12-08T04:30:19.229306
91,1.405567,1.319106,68.6,0.00059211,2025-12-08T04:31:57.139360
92,1.363578,1.259736,69.87,0.00058418,2025-12-08T04:33:34.097689
93,1.389211,1.293392,69.99,0.00057623,2025-12-08T04:35:11.359528
94,1.373731,1.34429,69.42,0.00056826,2025-12-08T04:36:49.111131
95,1.38281,1.268862,70.29,0.00056027,2025-12-08T04:38:26.739301
96,1.365583,1.280841,70.13,0.00055226,2025-12-08T04:40:04.063486
97,1.379542,1.338333,70.05,0.00054425,2025-12-08T04:41:41.955632
98,1.394745,1.309613,70.0,0.00053622,2025-12-08T04:43:12.712286
99,1.408585,1.237741,70.8,0.00052818,2025-12-08T04:44:42.739110
100,1.373245,1.270412,70.28,0.00052013,2025-12-08T04:46:13.974294
101,1.329106,1.311738,69.76,0.00051208,2025-12-08T04:47:44.295266
102,1.405354,1.280306,70.01,0.00050403,2025-12-08T04:49:15.119259
103,1.364702,1.353834,70.33,0.00049597,2025-12-08T04:50:46.261325
104,1.358547,1.258613,70.76,0.00048792,2025-12-08T04:52:16.332787
105,1.415056,1.351637,70.62,0.00047987,2025-12-08T04:53:46.771806
106,1.356917,1.53288,68.54,0.00047182,2025-12-08T04:55:16.818302
107,1.346806,1.262561,70.64,0.00046378,2025-12-08T04:56:47.177284
108,1.379922,1.337406,69.75,0.00045575,2025-12-08T04:58:18.562260
109,1.378707,1.244593,70.57,0.00044774,2025-12-08T04:59:50.353159
110,1.318108,1.250782,71.0,0.00043973,2025-12-08T05:01:21.003057
111,1.351743,1.285733,71.59,0.00043174,2025-12-08T05:02:51.977481
112,1.380763,1.294806,71.26,0.00042377,2025-12-08T05:04:22.691923
113,1.333918,1.280813,71.72,0.00041582,2025-12-08T05:05:52.991716
114,1.378954,1.198537,71.95,0.00040789,2025-12-08T05:07:23.146468
115,1.337228,1.242087,71.25,0.00039999,2025-12-08T05:08:53.788551
116,1.3506,1.264408,70.48,0.00039211,2025-12-08T05:10:24.201731
117,1.315552,1.187396,73.03,0.00038426,2025-12-08T05:11:54.981452
118,1.386247,1.231889,71.38,0.00037644,2025-12-08T05:13:24.739949
119,1.317331,1.233027,71.49,0.00036865,2025-12-08T05:14:54.740661
120,1.334261,1.20145,72.5,0.00036089,2025-12-08T05:16:19.284459
121,1.302544,1.194572,72.25,0.00035317,2025-12-08T05:17:44.711164
122,1.354635,1.21599,72.24,0.00034549,2025-12-08T05:19:22.312257
123,1.361321,1.266725,72.15,0.00033785,2025-12-08T05:20:59.017355
124,1.329069,1.23296,72.04,0.00033025,2025-12-08T05:22:35.674405
125,1.377545,1.172582,72.75,0.0003227,2025-12-08T05:24:12.701889
126,1.35853,1.200654,72.33,0.00031519,2025-12-08T05:25:49.575824
127,1.344051,1.159525,72.79,0.00030773,2025-12-08T05:27:27.723884
128,1.298928,1.213666,72.5,0.00030032,2025-12-08T05:29:03.734490
129,1.364073,1.220032,73.29,0.00029296,2025-12-08T05:30:40.550492
130,1.299608,1.229477,72.7,0.00028565,2025-12-08T05:32:17.763737
