epoch,train_loss,val_loss,val_accuracy,learning_rate,timestamp
1,2.415745,3.188458,26.23,0.0002,2025-12-08T13:30:25.912173
2,2.072717,2.539589,44.56,0.0004,2025-12-08T13:32:08.039387
3,1.860834,2.278822,46.56,0.0006,2025-12-08T13:33:24.581178
4,1.802993,2.165189,50.45,0.0008,2025-12-08T13:34:40.248095
5,1.79987,2.03432,51.64,0.001,2025-12-08T13:36:01.568644
6,1.76219,1.981399,54.48,0.00099994,2025-12-08T13:37:19.994934
7,1.75642,2.012355,55.16,0.00099974,2025-12-08T13:38:39.946039
8,1.706227,2.021113,56.29,0.00099942,2025-12-08T13:40:12.426529
9,1.626881,1.907402,57.08,0.00099896,2025-12-08T13:41:44.270055
10,1.622866,1.873782,56.52,0.00099838,2025-12-08T13:43:17.822275
11,1.602485,1.921092,57.84,0.00099767,2025-12-08T13:44:51.810638
12,1.589386,1.840032,58.93,0.00099682,2025-12-08T13:46:22.824583
13,1.61979,1.879375,56.63,0.00099585,2025-12-08T13:47:54.786971
14,1.560012,1.711546,59.4,0.00099475,2025-12-08T13:49:26.661360
15,1.596886,1.703091,60.64,0.00099353,2025-12-08T13:51:05.541761
16,1.506307,1.788641,59.14,0.00099217,2025-12-08T13:52:43.755669
17,1.53817,1.696057,60.78,0.00099069,2025-12-08T13:54:22.027161
18,1.478381,1.642414,62.66,0.00098907,2025-12-08T13:56:00.312303
19,1.535802,1.690922,61.58,0.00098734,2025-12-08T13:57:37.534385
20,1.507663,1.776798,61.13,0.00098547,2025-12-08T13:59:11.929632
21,1.464736,1.708886,59.55,0.00098348,2025-12-08T14:00:44.913692
22,1.44122,1.638429,62.48,0.00098136,2025-12-08T14:02:16.974590
23,1.476085,1.618109,62.58,0.00097912,2025-12-08T14:03:49.378343
24,1.448144,1.679878,62.17,0.00097676,2025-12-08T14:05:22.128389
25,1.522254,1.671407,62.2,0.00097427,2025-12-08T14:06:54.933007
26,1.466356,1.671463,62.76,0.00097166,2025-12-08T14:08:27.481566
27,1.418284,1.573311,63.55,0.00096892,2025-12-08T14:10:00.677560
28,1.473541,1.546337,63.84,0.00096606,2025-12-08T14:11:33.114328
29,1.477869,1.573384,63.87,0.00096309,2025-12-08T14:13:05.438308
30,1.470482,1.678398,63.04,0.00095999,2025-12-08T14:14:38.129546
31,1.52243,1.539038,65.02,0.00095677,2025-12-08T14:16:10.971376
32,1.448262,1.600543,64.31,0.00095344,2025-12-08T14:17:43.177119
33,1.446111,1.571647,63.79,0.00094998,2025-12-08T14:19:15.973083
34,1.398062,1.608915,64.24,0.00094641,2025-12-08T14:20:48.525802
35,1.400989,1.570289,64.35,0.00094273,2025-12-08T14:22:20.373119
36,1.444871,1.563732,64.75,0.00093893,2025-12-08T14:23:52.743535
37,1.451416,1.563685,65.25,0.00093501,2025-12-08T14:25:25.739985
38,1.394174,1.581571,64.29,0.00093098,2025-12-08T14:26:58.079520
39,1.387107,1.534219,65.54,0.00092685,2025-12-08T14:28:30.717278
40,1.453236,1.628173,64.42,0.0009226,2025-12-08T14:30:03.568594
41,1.380717,1.503682,65.91,0.00091824,2025-12-08T14:31:35.125861
42,1.443788,1.539251,65.7,0.00091377,2025-12-08T14:33:07.879391
43,1.375469,1.515981,65.61,0.00090919,2025-12-08T14:34:40.540806
44,1.462306,1.490797,65.91,0.00090451,2025-12-08T14:36:13.112403
45,1.372498,1.510732,66.64,0.00089972,2025-12-08T14:37:45.552037
