epoch,train_loss,val_loss,val_accuracy,learning_rate,timestamp
1,4.247634,3.001969,25.51,0.0002,2025-12-07T14:38:16.353113
2,3.691679,2.459881,36.64,0.0004,2025-12-07T14:40:00.102945
3,3.52243,2.299475,40.36,0.0006,2025-12-07T14:41:59.025670
4,3.479714,2.377415,39.48,0.0008,2025-12-07T14:43:54.525727
5,3.464158,2.471349,39.94,0.001,2025-12-07T14:45:33.935067
6,3.361446,2.5064,39.85,0.00099994,2025-12-07T14:47:12.932544
7,3.336824,2.184645,45.69,0.00099974,2025-12-07T14:48:51.864479
8,3.276897,1.988819,47.89,0.00099942,2025-12-07T14:50:31.949212
9,3.198217,2.177682,46.12,0.00099896,2025-12-07T14:52:29.627441
10,3.155651,2.019008,49.57,0.00099838,2025-12-07T14:54:27.803879
11,3.119537,2.637712,52.41,0.00099767,2025-12-07T14:56:22.202021
12,3.047693,1.855424,51.93,0.00099682,2025-12-07T14:58:10.371862
13,3.029115,1.787754,53.84,0.00099585,2025-12-07T15:00:18.497886
14,2.922363,1.750153,55.06,0.00099475,2025-12-07T15:02:22.739535
15,2.948782,1.918085,56.33,0.00099353,2025-12-07T15:04:28.814790
16,2.847217,1.691246,57.09,0.00099217,2025-12-07T15:06:17.138283
17,2.899564,1.883855,57.76,0.00099069,2025-12-07T15:07:56.816331
18,2.828229,1.79369,57.88,0.00098907,2025-12-07T15:09:46.105603
19,2.838758,2.099455,56.17,0.00098734,2025-12-07T15:11:45.244851
20,2.741195,1.744144,58.47,0.00098547,2025-12-07T15:13:43.870063
21,2.780797,1.701518,59.05,0.00098348,2025-12-07T15:15:45.648297
22,2.771246,1.793731,59.32,0.00098136,2025-12-07T15:17:45.660371
23,2.722625,1.743358,60.63,0.00097912,2025-12-07T15:19:45.257136
24,2.738225,1.499404,61.11,0.00097676,2025-12-07T15:21:43.657208
25,2.721253,1.564668,60.21,0.00097427,2025-12-07T15:23:40.537052
26,2.698578,1.463285,62.12,0.00097166,2025-12-07T15:25:37.709235
27,2.658631,1.6662,59.76,0.00096892,2025-12-07T15:27:35.679171
28,2.703346,1.598168,59.78,0.00096606,2025-12-07T15:29:32.242189
29,2.601049,1.516675,62.14,0.00096309,2025-12-07T15:31:29.205592
30,2.593742,1.867863,61.48,0.00095999,2025-12-07T15:33:27.692075
31,2.671506,2.593328,61.5,0.00095677,2025-12-07T15:35:15.417155
32,2.542424,1.888237,61.49,0.00095344,2025-12-07T15:37:09.129371
33,2.619763,1.993061,61.37,0.00094998,2025-12-07T15:39:06.264714
34,2.521588,1.927342,62.8,0.00094641,2025-12-07T15:41:03.932644
35,2.536281,1.883262,60.92,0.00094273,2025-12-07T15:43:01.899728
36,2.591471,1.819751,62.9,0.00093893,2025-12-07T15:44:59.308840
37,2.525655,5.328175,60.36,0.00093501,2025-12-07T15:46:58.089742
38,2.562991,1.608312,61.47,0.00093098,2025-12-07T15:48:55.751277
39,2.518101,2.014498,61.15,0.00092685,2025-12-07T15:50:57.900595
40,2.560455,2.468542,62.26,0.0009226,2025-12-07T15:52:55.504458
41,2.514827,2.232649,61.82,0.00091824,2025-12-07T15:54:55.296490
42,2.489751,1.860954,63.77,0.00091377,2025-12-07T15:56:53.751576
43,2.5006,1.449321,64.84,0.00090919,2025-12-07T15:58:53.735981
44,2.444343,1.390142,65.1,0.00090451,2025-12-07T16:00:53.653771
45,2.44451,1.527285,65.0,0.00089972,2025-12-07T16:02:52.304475
46,2.404586,3.25699,61.68,0.00089483,2025-12-07T16:04:49.185896
47,2.454997,4.769823,61.26,0.00088984,2025-12-07T16:06:46.363462
48,2.446904,3.126207,63.65,0.00088474,2025-12-07T16:08:37.874177
49,2.431782,1.677503,61.57,0.00087955,2025-12-07T16:10:17.879798
50,2.510546,1.63556,63.72,0.00087426,2025-12-07T16:11:57.396103
51,2.42045,1.512743,64.4,0.00086887,2025-12-07T16:13:38.143299
52,2.376666,1.548262,63.67,0.00086338,2025-12-07T16:15:17.649732
53,2.398349,1.630157,63.22,0.0008578,2025-12-07T16:16:57.393158
54,2.447839,1.843253,63.39,0.00085213,2025-12-07T16:18:47.417085
55,2.387118,1.638374,65.08,0.00084636,2025-12-07T16:20:46.392356
56,2.393887,1.696705,64.3,0.00084051,2025-12-07T16:22:44.693457
57,2.35807,2.182087,63.99,0.00083457,2025-12-07T16:24:42.378470
58,2.368273,1.629012,63.58,0.00082854,2025-12-07T16:26:39.946148
59,2.36971,1.552136,62.23,0.00082242,2025-12-07T16:28:38.496760
60,2.371488,1.546016,66.25,0.00081622,2025-12-07T16:30:38.952913
61,2.348571,1.534242,64.81,0.00080994,2025-12-07T16:32:28.476038
62,2.372993,1.659213,59.93,0.00080358,2025-12-07T16:34:07.693379
63,2.245685,1.527665,63.26,0.00079714,2025-12-07T16:35:47.320553
64,2.342201,1.790609,57.85,0.00079062,2025-12-07T16:37:26.504752
65,2.394075,1.761367,65.19,0.00078403,2025-12-07T16:39:05.904192
66,2.337803,1.61847,60.87,0.00077737,2025-12-07T16:40:44.718431
67,2.334119,1.500733,63.08,0.00077063,2025-12-07T16:42:23.880384
68,2.294736,1.787396,63.69,0.00076382,2025-12-07T16:44:03.277365
69,2.375328,1.817262,62.69,0.00075694,2025-12-07T16:45:42.828509
70,2.289817,1.605559,63.07,0.00075,2025-12-07T16:47:22.312332
71,2.257907,2.049088,61.78,0.00074299,2025-12-07T16:49:03.119045
72,2.252273,1.680802,60.25,0.00073592,2025-12-07T16:50:42.526970
73,2.22685,1.710926,59.84,0.00072879,2025-12-07T16:52:22.105599
74,2.278896,1.845618,63.9,0.0007216,2025-12-07T16:54:01.834493
75,2.306383,1.389612,64.8,0.00071435,2025-12-07T16:55:41.344465
76,2.295064,1.435781,66.2,0.00070704,2025-12-07T16:57:21.151111
77,2.27098,1.47845,65.97,0.00069968,2025-12-07T16:59:00.761561
78,2.252652,1.407708,65.32,0.00069227,2025-12-07T17:00:40.524129
79,2.248035,1.913732,62.96,0.00068481,2025-12-07T17:02:20.147733
80,2.299597,1.691604,63.11,0.0006773,2025-12-07T17:03:59.532556
81,2.245942,2.728868,66.38,0.00066975,2025-12-07T17:05:40.374206
82,2.224696,1.545821,63.02,0.00066215,2025-12-07T17:07:20.172558
83,2.193295,1.730404,63.42,0.00065451,2025-12-07T17:08:59.362411
84,2.316497,2.503935,65.07,0.00064683,2025-12-07T17:10:38.554897
85,2.243305,1.452204,66.75,0.00063911,2025-12-07T17:12:17.915039
