epoch,train_loss,val_loss,val_accuracy,learning_rate,timestamp
1,3.931736,1.864086,54.54,0.0002,2025-12-09T17:13:51.250098
2,3.567051,1.690959,58.92,0.0004,2025-12-09T17:18:31.668289
3,3.444576,1.690637,60.07,0.0006,2025-12-09T17:23:08.694762
4,3.433375,1.696433,58.95,0.0008,2025-12-09T17:27:49.790095
5,3.420122,1.771366,57.67,0.001,2025-12-09T17:32:44.844929
6,3.34554,1.681403,60.38,0.00099994,2025-12-09T17:37:16.904116
7,3.277809,1.58066,63.07,0.00099974,2025-12-09T17:41:59.828997
8,3.230633,1.552407,63.84,0.00099942,2025-12-09T17:46:42.074494
9,3.190981,1.574687,63.6,0.00099896,2025-12-09T17:51:23.423561
10,3.147703,1.568111,64.36,0.00099838,2025-12-09T17:56:04.250857
11,3.129304,1.51896,66.76,0.00099767,2025-12-09T18:00:46.709570
12,3.10594,1.488135,66.45,0.00099682,2025-12-09T18:05:27.115518
13,3.108997,1.447854,67.45,0.00099585,2025-12-09T18:10:06.854308
14,3.071019,1.335079,69.06,0.00099475,2025-12-09T18:14:47.780020
15,3.011625,1.399897,68.56,0.00099353,2025-12-09T18:19:28.785490
16,3.020946,1.410155,69.07,0.00099217,2025-12-09T18:24:08.946175
17,2.990812,1.347659,69.32,0.00099069,2025-12-09T18:28:49.723937
18,3.019386,1.363049,68.54,0.00098907,2025-12-09T18:33:30.561273
19,2.998097,1.376142,69.7,0.00098734,2025-12-09T18:38:10.610185
20,2.995535,1.405266,68.84,0.00098547,2025-12-09T18:42:50.821319
21,2.976675,1.372279,69.8,0.00098348,2025-12-09T18:47:32.362980
22,2.949277,1.418124,68.24,0.00098136,2025-12-09T18:52:12.918431
23,2.932372,1.376543,69.41,0.00097912,2025-12-09T18:56:52.608224
24,2.939996,1.288454,70.32,0.00097676,2025-12-09T19:01:32.462791
25,2.978163,1.359727,69.57,0.00097427,2025-12-09T19:06:12.607921
26,2.916931,1.260936,70.77,0.00097166,2025-12-09T19:10:52.221635
27,2.955034,1.43961,68.49,0.00096892,2025-12-09T19:15:32.242604
28,2.933565,1.484404,67.18,0.00096606,2025-12-09T19:20:11.685805
29,2.904585,1.428094,68.32,0.00096309,2025-12-09T19:24:51.526039
30,2.931996,1.38402,70.88,0.00095999,2025-12-09T19:29:31.499603
31,2.911676,1.346647,69.52,0.00095677,2025-12-09T19:34:13.499995
32,2.888643,1.408225,68.73,0.00095344,2025-12-09T19:38:53.547163
33,2.92118,1.323041,70.42,0.00094998,2025-12-09T19:43:33.514478
34,2.92121,1.377535,70.66,0.00094641,2025-12-09T19:48:13.701077
35,2.919054,1.332077,70.88,0.00094273,2025-12-09T19:52:53.348343
36,2.871743,1.307824,71.34,0.00093893,2025-12-09T19:57:33.553289
37,2.899537,1.392841,70.21,0.00093501,2025-12-09T20:02:13.919097
38,2.918895,1.402622,70.48,0.00093098,2025-12-09T20:06:53.409876
39,2.897371,1.34979,71.26,0.00092685,2025-12-09T20:11:33.571322
40,2.902096,1.385855,69.63,0.0009226,2025-12-09T20:16:13.473121
41,2.900918,1.417199,70.26,0.00091824,2025-12-09T20:20:54.716487
42,2.909951,1.271391,72.22,0.00091377,2025-12-09T20:25:33.884851
43,2.906882,1.413441,69.04,0.00090919,2025-12-09T20:30:14.171178
44,2.858482,1.441725,68.12,0.00090451,2025-12-09T20:34:53.823364
45,2.909409,1.32041,71.27,0.00089972,2025-12-09T20:39:27.807035
46,2.897815,1.325802,70.98,0.00089483,2025-12-09T20:43:42.069027
47,2.886304,1.304259,69.95,0.00088984,2025-12-09T20:48:31.421964
48,2.852681,1.296213,71.78,0.00088474,2025-12-09T20:53:24.240962
49,2.880155,1.329569,71.35,0.00087955,2025-12-09T20:58:16.521809
50,2.846666,1.351363,68.09,0.00087426,2025-12-09T21:03:09.553774
51,2.85662,1.325813,71.0,0.00086887,2025-12-09T21:08:03.436552
52,2.819138,1.326084,70.39,0.00086338,2025-12-09T21:12:53.681951
53,2.853837,1.185851,74.01,0.0008578,2025-12-09T21:17:37.483171
54,2.846037,1.341626,69.93,0.00085213,2025-12-09T21:22:21.917211
55,2.834055,1.268821,72.99,0.00084636,2025-12-09T21:27:06.132006
56,2.879836,1.355335,71.07,0.00084051,2025-12-09T21:31:50.498426
57,2.849097,1.36143,69.93,0.00083457,2025-12-09T21:36:34.581526
58,2.836692,1.277108,72.37,0.00082854,2025-12-09T21:41:18.376005
59,2.839907,1.251859,72.19,0.00082242,2025-12-09T21:46:02.362773
60,2.802558,1.334779,70.51,0.00081622,2025-12-09T21:50:45.968472
61,2.794018,1.328256,72.08,0.00080994,2025-12-09T21:55:30.725492
62,2.848296,1.278199,71.37,0.00080358,2025-12-09T22:00:12.147033
63,2.795878,1.154401,73.82,0.00079714,2025-12-09T22:04:53.960273
64,2.841371,1.367566,70.14,0.00079062,2025-12-09T22:09:35.761372
65,2.82369,1.32795,70.49,0.00078403,2025-12-09T22:14:17.548656
66,2.81069,1.271289,72.67,0.00077737,2025-12-09T22:18:59.204396
67,2.782201,1.138597,74.27,0.00077063,2025-12-09T22:23:40.590735
68,2.826658,1.121238,74.68,0.00076382,2025-12-09T22:28:37.317503
69,2.804802,1.116727,75.19,0.00075694,2025-12-09T22:33:31.260998
70,2.804328,1.365969,70.69,0.00075,2025-12-09T22:38:15.836993
71,2.815416,1.243997,73.53,0.00074299,2025-12-09T22:43:00.621169
72,2.778719,1.138172,75.14,0.00073592,2025-12-09T22:47:43.708167
73,2.80341,1.24668,73.51,0.00072879,2025-12-09T22:52:25.827412
74,2.765612,1.214617,73.16,0.0007216,2025-12-09T22:57:06.624813
75,2.787607,1.163996,74.1,0.00071435,2025-12-09T23:01:47.880379
76,2.761852,1.204066,73.9,0.00070704,2025-12-09T23:06:29.259820
77,2.825234,1.21556,73.96,0.00069968,2025-12-09T23:11:10.041857
78,2.795611,1.204479,74.74,0.00069227,2025-12-09T23:15:51.664867
79,2.779916,1.256799,73.49,0.00068481,2025-12-09T23:20:33.257168
80,2.778514,1.197826,75.36,0.0006773,2025-12-09T23:25:14.290923
81,2.782355,1.214917,73.78,0.00066975,2025-12-09T23:29:58.093541
82,2.790991,1.283917,72.36,0.00066215,2025-12-09T23:34:39.719414
83,2.729653,1.150342,75.1,0.00065451,2025-12-09T23:39:21.088210
84,2.768301,1.187969,74.19,0.00064683,2025-12-09T23:44:02.593752
85,2.728134,1.170784,75.1,0.00063911,2025-12-09T23:48:44.111112
86,2.746347,1.185263,74.39,0.00063135,2025-12-09T23:53:25.117256
87,2.705004,1.17621,74.96,0.00062356,2025-12-09T23:58:06.345878
88,2.745464,1.185499,75.44,0.00061574,2025-12-10T00:02:47.671071
89,2.746615,1.170382,74.9,0.00060789,2025-12-10T00:07:30.055920
90,2.708612,1.049023,75.71,0.00060001,2025-12-10T00:12:11.443632
91,2.75567,1.125144,75.6,0.00059211,2025-12-10T00:16:55.271743
92,2.71601,1.149354,76.49,0.00058418,2025-12-10T00:21:37.615842
93,2.693342,1.135122,75.64,0.00057623,2025-12-10T00:26:19.321932
94,2.675703,1.119129,75.52,0.00056826,2025-12-10T00:31:00.801591
95,2.681026,1.035145,76.75,0.00056027,2025-12-10T00:35:34.082342
96,2.675054,1.119615,76.44,0.00055226,2025-12-10T00:40:07.416398
97,2.70252,1.135273,75.75,0.00054425,2025-12-10T00:44:49.043546
98,2.676156,1.081812,77.18,0.00053622,2025-12-10T00:49:33.578302
99,2.661731,1.109044,75.82,0.00052818,2025-12-10T00:54:20.064609
100,2.642017,1.04251,77.7,0.00052013,2025-12-10T00:59:05.242596
101,2.660208,1.107775,77.01,0.00051208,2025-12-10T01:03:53.033547
102,2.633532,1.105064,76.65,0.00050403,2025-12-10T01:08:38.136182
103,2.655714,1.178436,75.91,0.00049597,2025-12-10T01:13:23.533758
104,2.63063,1.021033,77.42,0.00048792,2025-12-10T01:18:07.345170
105,2.660367,1.029827,77.27,0.00047987,2025-12-10T01:22:56.857259
106,2.620768,1.002275,76.91,0.00047182,2025-12-10T01:27:36.454053
107,2.600718,1.04161,77.71,0.00046378,2025-12-10T01:32:16.256568
108,2.62284,1.052362,77.47,0.00045575,2025-12-10T01:36:56.254847
109,2.624198,1.039025,77.84,0.00044774,2025-12-10T01:41:35.275001
110,2.629579,1.07218,77.67,0.00043973,2025-12-10T01:46:15.126289
111,2.611786,0.947739,78.78,0.00043174,2025-12-10T01:50:55.514596
112,2.632671,0.990424,78.54,0.00042377,2025-12-10T01:55:35.797705
113,2.624051,1.071312,78.21,0.00041582,2025-12-10T02:00:14.915447
114,2.581065,0.998022,78.56,0.00040789,2025-12-10T02:04:53.541167
115,2.607625,1.023348,78.34,0.00039999,2025-12-10T02:09:32.339329
116,2.55506,1.030438,78.66,0.00039211,2025-12-10T02:14:10.869589
117,2.546929,0.977451,78.9,0.00038426,2025-12-10T02:18:49.304890
118,2.551123,1.017484,78.5,0.00037644,2025-12-10T02:23:28.367640
119,2.55573,1.080995,77.93,0.00036865,2025-12-10T02:28:06.533222
120,2.515293,0.988149,78.1,0.00036089,2025-12-10T02:32:43.749164
121,2.529388,0.993495,78.92,0.00035317,2025-12-10T02:37:24.799456
122,2.536251,0.975386,79.19,0.00034549,2025-12-10T02:42:59.015836
123,2.524726,0.995329,79.03,0.00033785,2025-12-10T02:48:31.990652
124,2.524161,1.095507,77.97,0.00033025,2025-12-10T02:53:33.330451
125,2.514946,0.957989,79.66,0.0003227,2025-12-10T02:58:15.452609
126,2.460613,0.952588,79.58,0.00031519,2025-12-10T03:02:57.771977
127,2.485581,0.912446,79.65,0.00030773,2025-12-10T03:07:38.688703
128,2.468918,0.93156,78.93,0.00030032,2025-12-10T03:12:20.521718
129,2.495875,0.929428,79.59,0.00029296,2025-12-10T03:17:02.140945
130,2.465044,0.929642,80.31,0.00028565,2025-12-10T03:21:42.834422
131,2.46707,0.921391,79.81,0.0002784,2025-12-10T03:26:26.109047
132,2.510805,0.964427,80.27,0.00027121,2025-12-10T03:31:07.375422
133,2.457075,0.892021,80.42,0.00026408,2025-12-10T03:35:48.348585
134,2.417714,0.94726,80.75,0.00025701,2025-12-10T03:40:30.911815
135,2.433038,0.910799,80.5,0.00025,2025-12-10T03:45:12.899047
136,2.4737,0.974465,80.5,0.00024306,2025-12-10T03:49:54.004304
137,2.440341,0.899335,80.92,0.00023618,2025-12-10T03:54:34.852803
138,2.416206,0.898115,81.08,0.00022937,2025-12-10T03:59:16.980613
139,2.369764,0.859026,81.26,0.00022263,2025-12-10T04:03:56.604853
140,2.400377,0.91315,80.79,0.00021597,2025-12-10T04:08:39.093682
141,2.409366,0.931269,81.06,0.00020938,2025-12-10T04:13:23.181064
142,2.365306,0.887289,81.46,0.00020286,2025-12-10T04:18:04.828626
143,2.370379,0.898724,81.02,0.00019642,2025-12-10T04:22:47.210247
144,2.338527,0.895443,81.22,0.00019006,2025-12-10T04:27:29.419015
145,2.331655,0.914243,80.51,0.00018378,2025-12-10T04:32:10.786186
146,2.361286,0.885305,81.48,0.00017758,2025-12-10T04:36:52.574556
147,2.355179,0.851166,81.2,0.00017146,2025-12-10T04:41:34.796274
148,2.351136,0.851623,81.43,0.00016543,2025-12-10T04:46:15.909303
149,2.353129,0.890328,81.24,0.00015949,2025-12-10T04:50:55.833091
150,2.313479,0.880255,81.87,0.00015364,2025-12-10T04:55:36.028287
151,2.325276,0.874347,81.94,0.00014787,2025-12-10T05:00:19.889251
152,2.32552,0.827782,82.12,0.0001422,2025-12-10T05:05:02.310256
153,2.318115,0.855921,82.0,0.00013662,2025-12-10T05:09:44.504740
154,2.274594,0.919373,81.75,0.00013113,2025-12-10T05:14:26.539983
155,2.311461,0.841974,82.47,0.00012574,2025-12-10T05:19:08.499479
156,2.269189,0.783532,82.31,0.00012045,2025-12-10T05:23:50.563364
157,2.301266,0.882794,82.27,0.00011526,2025-12-10T05:28:32.412968
158,2.2744,0.829942,82.18,0.00011016,2025-12-10T05:33:14.121720
159,2.24228,0.780756,82.56,0.00010517,2025-12-10T05:37:55.114786
160,2.247688,0.834466,82.61,0.00010028,2025-12-10T05:42:37.137032
