epoch,train_loss,val_loss,val_accuracy,learning_rate,timestamp
1,6.700024,3.28034,25.16,0.0002,2025-12-08T10:44:36.129749
2,5.440829,2.646285,42.94,0.0004,2025-12-08T10:46:33.915120
3,4.990589,2.445983,45.53,0.0006,2025-12-08T10:48:08.046501
4,4.935633,2.370941,47.8,0.0008,2025-12-08T10:49:22.917041
5,4.812854,2.154568,48.96,0.001,2025-12-08T10:50:40.524583
6,4.679471,2.205905,50.16,0.00099997,2025-12-08T10:51:59.025731
7,4.626689,2.186592,52.05,0.00099989,2025-12-08T10:53:30.574245
8,4.471089,2.293468,51.89,0.00099974,2025-12-08T10:55:02.990847
9,4.49954,2.177619,52.23,0.00099955,2025-12-08T10:56:34.359825
10,4.460872,2.013415,54.4,0.00099929,2025-12-08T10:58:06.358422
11,4.403021,2.126941,54.95,0.00099898,2025-12-08T10:59:38.643314
12,4.314375,2.079003,54.37,0.00099861,2025-12-08T11:01:09.782815
13,4.253506,2.040577,55.69,0.00099819,2025-12-08T11:02:40.555751
14,4.170046,1.930825,56.2,0.00099771,2025-12-08T11:04:11.830339
15,4.100775,1.943491,56.45,0.00099717,2025-12-08T11:05:42.585899
16,3.976938,1.902898,57.57,0.00099657,2025-12-08T11:07:13.137539
17,4.119145,1.876088,57.08,0.00099592,2025-12-08T11:08:44.000196
18,3.958959,1.908804,59.8,0.00099522,2025-12-08T11:10:15.038399
19,3.948308,1.887919,59.12,0.00099445,2025-12-08T11:11:46.575745
20,3.92844,1.801293,59.5,0.00099363,2025-12-08T11:13:17.206296
21,4.019771,1.871906,58.88,0.00099276,2025-12-08T11:14:50.240715
22,3.905983,1.792421,61.32,0.00099183,2025-12-08T11:16:22.407249
23,3.859187,1.769343,61.48,0.00099084,2025-12-08T11:17:54.495464
24,3.844544,1.809902,61.03,0.0009898,2025-12-08T11:19:26.074463
25,3.913525,1.787907,61.05,0.0009887,2025-12-08T11:20:57.220716
26,3.873026,1.786029,61.5,0.00098755,2025-12-08T11:22:29.269703
27,3.654627,1.704297,61.79,0.00098634,2025-12-08T11:24:00.601292
28,3.702044,1.674883,62.36,0.00098508,2025-12-08T11:25:32.352992
29,3.665245,1.711608,63.37,0.00098376,2025-12-08T11:27:03.918418
30,3.756859,1.702678,63.08,0.00098238,2025-12-08T11:28:34.207222
31,3.703016,1.634513,64.34,0.00098096,2025-12-08T11:30:04.727364
32,3.636914,1.672489,62.71,0.00097947,2025-12-08T11:31:35.227357
33,3.66283,1.596915,63.59,0.00097794,2025-12-08T11:33:06.122816
34,3.557931,1.724206,63.64,0.00097634,2025-12-08T11:34:36.252859
35,3.632981,1.664607,63.42,0.0009747,2025-12-08T11:36:06.458133
36,3.663541,1.654988,64.37,0.000973,2025-12-08T11:37:36.236067
37,3.598781,1.624223,64.24,0.00097125,2025-12-08T11:39:06.607244
38,3.535346,1.570469,64.65,0.00096944,2025-12-08T11:40:36.793220
39,3.529028,1.62757,65.02,0.00096758,2025-12-08T11:42:07.010772
40,3.583684,1.662447,64.72,0.00096567,2025-12-08T11:43:36.774035
41,3.587596,1.615548,65.1,0.0009637,2025-12-08T11:45:07.725598
42,3.541266,1.586321,65.7,0.00096168,2025-12-08T11:46:38.385421
43,3.567533,1.555982,66.27,0.00095961,2025-12-08T11:48:08.845273
44,3.500278,1.597179,65.5,0.00095749,2025-12-08T11:49:39.396428
45,3.5311,1.674872,65.51,0.00095532,2025-12-08T11:51:09.951313
46,3.507763,1.601997,64.63,0.00095309,2025-12-08T11:52:40.637187
47,3.42707,1.627503,64.32,0.00095081,2025-12-08T11:54:11.223908
48,3.47588,1.635791,65.54,0.00094849,2025-12-08T11:55:41.343390
49,3.468644,1.518628,65.39,0.00094611,2025-12-08T11:57:12.011329
50,3.492996,1.629972,64.16,0.00094368,2025-12-08T11:58:42.296104
51,3.462194,1.525325,66.25,0.0009412,2025-12-08T12:00:13.141832
52,3.459041,1.651406,65.76,0.00093867,2025-12-08T12:01:43.370966
53,3.395759,1.687371,64.85,0.00093609,2025-12-08T12:03:13.687218
54,3.397494,1.537981,66.85,0.00093346,2025-12-08T12:04:44.070419
55,3.422612,1.513183,66.37,0.00093078,2025-12-08T12:06:14.703299
56,3.355715,1.584186,64.83,0.00092805,2025-12-08T12:07:45.055709
57,3.423478,1.72563,64.37,0.00092527,2025-12-08T12:09:15.199471
58,3.339099,1.589825,65.6,0.00092245,2025-12-08T12:10:45.845602
59,3.418791,1.737271,65.71,0.00091958,2025-12-08T12:12:15.939408
60,3.408234,1.581898,65.51,0.00091666,2025-12-08T12:13:46.010749
61,3.457872,1.629439,64.94,0.00091369,2025-12-08T12:15:17.264626
62,3.322209,1.688029,64.68,0.00091068,2025-12-08T12:16:46.901487
63,3.36683,1.560599,66.44,0.00090762,2025-12-08T12:18:17.051581
64,3.361341,1.59832,64.58,0.00090451,2025-12-08T12:19:48.088225
65,3.388167,1.623835,65.34,0.00090136,2025-12-08T12:21:19.105763
66,3.302268,1.558156,64.75,0.00089816,2025-12-08T12:22:49.139555
