epoch,train_loss,val_loss,val_accuracy,learning_rate,timestamp
1,1.791826,3.192878,28.01,0.0002,2025-12-10T10:40:53.814775
2,1.614366,2.588779,41.33,0.0004,2025-12-10T10:42:28.357868
3,1.543006,2.299686,47.65,0.0006,2025-12-10T10:44:06.985520
4,1.50272,2.219536,50.55,0.0008,2025-12-10T10:45:55.527468
5,1.489099,2.28148,49.27,0.001,2025-12-10T10:47:42.663696
6,1.459075,2.077571,52.16,0.00099994,2025-12-10T10:49:29.671851
7,1.415748,2.027449,55.38,0.00099974,2025-12-10T10:51:17.704084
8,1.398459,1.947106,56.31,0.00099942,2025-12-10T10:53:05.167411
9,1.38926,1.97649,55.82,0.00099896,2025-12-10T10:54:53.971291
10,1.381343,1.922192,58.32,0.00099838,2025-12-10T10:56:41.343814
11,1.374919,1.951855,55.63,0.00099767,2025-12-10T10:58:29.705766
12,1.368887,1.833964,58.89,0.00099682,2025-12-10T11:00:17.591036
13,1.357655,1.822588,59.2,0.00099585,2025-12-10T11:02:05.348768
14,1.343338,1.804518,59.59,0.00099475,2025-12-10T11:03:52.742696
15,1.35738,1.822643,59.67,0.00099353,2025-12-10T11:05:36.097260
16,1.335149,1.827519,59.3,0.00099217,2025-12-10T11:07:17.780401
17,1.348924,1.766592,60.99,0.00099069,2025-12-10T11:08:59.199426
18,1.328218,1.727274,62.15,0.00098907,2025-12-10T11:10:39.752945
19,1.310562,1.708387,61.48,0.00098734,2025-12-10T11:12:20.014716
20,1.317223,1.70177,62.07,0.00098547,2025-12-10T11:14:00.996403
21,1.30927,1.758038,61.38,0.00098348,2025-12-10T11:15:42.044822
22,1.317487,1.610541,62.91,0.00098136,2025-12-10T11:17:22.221750
23,1.327469,1.80591,61.5,0.00097912,2025-12-10T11:19:03.386381
24,1.291519,1.709312,62.61,0.00097676,2025-12-10T11:20:43.855614
25,1.293996,1.759228,62.37,0.00097427,2025-12-10T11:22:24.033469
26,1.288712,1.721785,63.11,0.00097166,2025-12-10T11:24:04.467584
27,1.280814,1.623862,64.01,0.00096892,2025-12-10T11:25:45.007919
28,1.284426,1.676715,63.35,0.00096606,2025-12-10T11:27:24.788258
29,1.280024,1.602969,64.53,0.00096309,2025-12-10T11:29:04.839691
30,1.275338,1.629653,64.16,0.00095999,2025-12-10T11:30:45.067277
31,1.258123,1.711877,64.15,0.00095677,2025-12-10T11:32:25.426425
32,1.269127,1.579608,65.71,0.00095344,2025-12-10T11:34:05.900446
33,1.244312,1.608429,64.28,0.00094998,2025-12-10T11:35:46.974152
34,1.246158,1.636562,64.5,0.00094641,2025-12-10T11:37:27.773459
35,1.262695,1.624532,64.9,0.00094273,2025-12-10T11:39:08.452650
36,1.258387,1.623997,64.44,0.00093893,2025-12-10T11:40:49.224483
37,1.255603,1.613886,64.21,0.00093501,2025-12-10T11:42:29.431443
38,1.254037,1.603367,65.61,0.00093098,2025-12-10T11:44:10.166021
39,1.248759,1.677304,65.24,0.00092685,2025-12-10T11:45:50.973222
40,1.258916,1.630314,66.05,0.0009226,2025-12-10T11:47:31.948529
41,1.261851,1.516911,66.86,0.00091824,2025-12-10T11:49:13.807349
42,1.233037,1.670773,65.5,0.00091377,2025-12-10T11:50:55.130547
43,1.22839,1.533369,65.26,0.00090919,2025-12-10T11:52:36.026601
44,1.229191,1.555833,66.95,0.00090451,2025-12-10T11:54:17.253625
45,1.233445,1.553913,66.32,0.00089972,2025-12-10T11:55:58.069257
46,1.211653,1.516122,66.96,0.00089483,2025-12-10T11:57:39.091165
47,1.21585,1.538632,65.64,0.00088984,2025-12-10T11:59:20.138706
48,1.221806,1.488586,66.74,0.00088474,2025-12-10T12:01:00.810288
49,1.220721,1.531012,67.7,0.00087955,2025-12-10T12:02:41.083967
50,1.211686,1.498443,66.85,0.00087426,2025-12-10T12:04:22.235526
51,1.228298,1.512303,67.45,0.00086887,2025-12-10T12:06:03.046267
52,1.217139,1.571245,66.56,0.00086338,2025-12-10T12:07:43.921853
53,1.205315,1.474907,67.45,0.0008578,2025-12-10T12:09:24.087404
54,1.209303,1.48377,67.95,0.00085213,2025-12-10T12:11:04.476009
55,1.211515,1.530879,66.89,0.00084636,2025-12-10T12:12:46.330690
56,1.209306,1.51696,67.65,0.00084051,2025-12-10T12:14:26.725279
57,1.203328,1.440323,68.59,0.00083457,2025-12-10T12:16:07.030935
58,1.186769,1.442954,67.18,0.00082854,2025-12-10T12:17:47.569726
59,1.211241,1.533904,67.74,0.00082242,2025-12-10T12:19:29.576372
